Generation,Hue Value,Hunger Decrease
1,342,87
1,273,6
1,277,41
1,295,52
1,46,20
1,248,20
1,230,12
1,64,52
1,288,21
1,273,23
1,349,70
1,298,88
1,165,72
1,291,67
1,212,27
1,201,13
1,345,86
1,331,37
1,338,49
1,295,87
2,338,86
2,295,52
2,291,67
2,248,20
2,288,21
2,273,6
2,338,86
3,338,86
2,338,86
3,338,86
3,338,86
3,338,86
2,230,12
3,338,86
3,338,86
2,288,21
2,273,6
3,338,86
3,338,86
4,338,86
4,338,86
2,46,20
4,338,86
2,273,23
4,226,10
4,226,10
4,226,10
3,226,10
2,288,21
2,273,6
3,226,10
5,226,10
4,226,10
5,226,10
5,226,10
6,226,10
6,226,10
3,230,12
3,226,10
6,226,10
2,273,6
3,226,10
5,226,10
7,226,10
7,226,10
4,226,10
7,226,10
5,226,10
4,226,10
5,226,10
6,226,10
5,226,10
4,226,10
8,226,10
8,226,10
3,226,10
4,226,10
5,226,10
2,273,6
3,226,10
8,226,10
5,226,10
6,226,10
6,226,10
7,226,10
6,226,10
3,226,10
5,226,10
9,226,10
9,226,10
4,226,10
5,226,10
6,226,10
4,226,10
9,226,10
6,226,10
7,226,10
4,226,10
7,226,10
8,226,10
7,226,10
4,226,10
6,226,10
10,226,10
10,226,10
5,226,10
2,273,6
3,226,10
6,226,10
7,226,10
5,226,10
10,226,10
7,226,10
8,226,10
8,226,10
5,226,10
9,226,10
8,226,10
5,226,10
7,226,10
11,226,10
11,226,10
6,226,10
4,226,10
7,226,10
8,226,10
6,226,10
11,226,10
8,226,10
9,226,10
9,226,10
6,226,10
10,226,10
9,226,10
6,226,10
8,226,10
2,273,6
3,226,10
12,226,10
12,226,10
7,226,10
5,226,10
8,226,10
9,226,10
7,226,10
12,226,10
9,226,10
10,226,10
10,226,10
7,226,10
11,226,10
10,226,10
7,226,10
9,226,10
4,226,10
13,226,10
13,226,10
8,226,10
6,226,10
9,226,10
10,226,10
8,226,10
13,226,10
10,226,10
11,226,10
11,226,10
8,226,10
12,226,10
11,226,10
2,273,6
3,226,10
8,226,10
10,226,10
5,226,10
14,226,10
14,226,10
9,226,10
7,226,10
10,226,10
11,226,10
9,226,10
14,226,10
11,226,10
12,226,10
12,226,10
9,226,10
13,226,10
12,226,10
4,226,10
9,226,10
11,226,10
6,226,10
15,226,10
15,226,10
10,226,10
8,226,10
11,226,10
12,226,10
10,226,10
15,226,10
12,226,10
13,226,10
2,273,6
3,226,10
10,226,10
13,226,10
14,226,10
5,226,10
13,226,10
10,226,10
12,226,10
7,226,10
16,226,10
16,226,10
11,226,10
9,226,10
12,226,10
13,226,10
11,226,10
16,226,10
13,226,10
14,226,10
4,226,10
11,226,10
14,226,10
15,226,10
6,226,10
14,226,10
11,226,10
13,226,10
8,226,10
17,226,10
17,226,10
12,226,10
10,226,10
13,226,10
14,226,10
12,226,10
2,273,6
3,226,10
17,226,10
14,226,10
5,226,10
15,226,10
15,226,10
12,226,10
16,226,10
7,226,10
15,226,10
12,226,10
14,226,10
9,226,10
18,226,10
18,226,10
13,226,10
11,226,10
14,226,10
15,226,10
13,226,10
4,226,10
18,226,10
6,226,10
15,226,10
16,226,10
16,226,10
13,226,10
17,226,10
8,226,10
16,226,10
13,226,10
15,226,10
10,226,10
19,226,10
19,226,10
14,226,10
2,273,6
3,226,10
12,226,10
15,226,10
16,226,10
5,226,10
14,226,10
19,226,10
7,226,10
16,226,10
17,226,10
17,226,10
14,226,10
18,226,10
9,226,10
17,226,10
14,226,10
16,226,10
11,226,10
20,226,10
20,226,10
15,226,10
4,226,10
13,226,10
16,226,10
17,226,10
6,226,10
15,226,10
20,226,10
8,226,10
17,226,10
18,226,10
18,226,10
15,226,10
19,226,10
10,226,10
18,226,10
15,226,10
17,226,10
12,226,10
2,273,6
3,226,10
21,226,10
21,226,10
16,226,10
5,226,10
14,226,10
17,226,10
18,226,10
7,226,10
16,226,10
21,226,10
9,226,10
18,226,10
19,226,10
19,226,10
16,226,10
20,226,10
11,226,10
19,226,10
16,226,10
18,226,10
13,226,10
4,226,10
22,226,10
22,226,10
17,226,10
6,226,10
15,226,10
18,226,10
19,226,10
8,226,10
17,226,10
22,226,10
10,226,10
19,226,10
20,226,10
20,226,10
17,226,10
21,226,10
12,226,10
20,226,10
2,273,6
3,226,10
17,226,10
19,226,10
5,226,10
14,226,10
23,226,10
23,226,10
18,226,10
7,226,10
16,226,10
19,226,10
20,226,10
9,226,10
18,226,10
23,226,10
11,226,10
20,226,10
21,226,10
21,226,10
18,226,10
22,226,10
13,226,10
21,226,10
4,226,10
18,226,10
6,226,10
20,226,10
15,226,10
24,226,10
24,226,10
19,226,10
8,226,10
17,226,10
20,226,10
21,226,10
10,226,10
19,226,10
24,226,10
12,226,10
21,226,10
2,273,6
3,226,10
22,226,10
22,226,10
19,226,10
23,226,10
14,226,10
5,226,10
22,226,10
7,226,10
19,226,10
21,226,10
16,226,10
25,226,10
25,226,10
20,226,10
9,226,10
18,226,10
21,226,10
22,226,10
11,226,10
20,226,10
25,226,10
13,226,10
22,226,10
4,226,10
23,226,10
23,226,10
20,226,10
24,226,10
6,226,10
15,226,10
23,226,10
8,226,10
20,226,10
22,226,10
17,226,10
26,226,10
26,226,10
21,226,10
10,226,10
19,226,10
22,226,10
23,226,10
12,226,10
21,226,10
2,273,6
3,226,10
26,226,10
14,226,10
23,226,10
5,226,10
24,226,10
24,226,10
21,226,10
7,226,10
25,226,10
16,226,10
24,226,10
9,226,10
21,226,10
23,226,10
18,226,10
27,226,10
27,226,10
22,226,10
11,226,10
20,226,10
23,226,10
24,226,10
13,226,10
22,226,10
4,226,10
27,226,10
15,226,10
24,226,10
6,226,10
25,226,10
25,226,10
22,226,10
8,226,10
26,226,10
17,226,10
25,226,10
10,226,10
22,226,10
24,226,10
19,226,10
28,226,10
28,226,10
23,226,10
12,226,10
2,273,6
3,226,10
24,226,10
21,226,10
25,226,10
14,226,10
5,226,10
23,226,10
28,226,10
16,226,10
25,226,10
7,226,10
26,226,10
26,226,10
23,226,10
9,226,10
27,226,10
18,226,10
26,226,10
11,226,10
23,226,10
25,226,10
20,226,10
29,226,10
29,226,10
24,226,10
13,226,10
4,226,10
25,226,10
22,226,10
26,226,10
6,226,10
15,226,10
24,226,10
29,226,10
17,226,10
26,226,10
8,226,10
27,226,10
27,226,10
24,226,10
10,226,10
28,226,10
19,226,10
27,226,10
12,226,10
24,226,10
26,226,10
2,273,6
3,226,10
21,226,10
30,226,10
30,226,10
25,226,10
5,226,10
14,226,10
23,226,10
26,226,10
27,226,10
7,226,10
16,226,10
25,226,10
30,226,10
18,226,10
27,226,10
9,226,10
28,226,10
28,226,10
25,226,10
11,226,10
29,226,10
20,226,10
28,226,10
13,226,10
25,226,10
27,226,10
4,226,10
22,226,10
31,226,10
31,226,10
26,226,10
6,226,10
15,226,10
24,226,10
27,226,10
28,226,10
8,226,10
17,226,10
26,226,10
31,226,10
19,226,10
28,226,10
10,226,10
29,226,10
29,226,10
26,226,10
12,226,10
30,226,10
21,226,10
2,273,6
3,226,10
29,226,10
14,226,10
26,226,10
5,226,10
28,226,10
23,226,10
32,226,10
32,226,10
27,226,10
7,226,10
16,226,10
25,226,10
28,226,10
29,226,10
9,226,10
18,226,10
27,226,10
32,226,10
20,226,10
29,226,10
11,226,10
30,226,10
30,226,10
27,226,10
13,226,10
31,226,10
22,226,10
4,226,10
30,226,10
15,226,10
6,226,10
27,226,10
29,226,10
24,226,10
33,226,10
33,226,10
28,226,10
8,226,10
17,226,10
26,226,10
29,226,10
30,226,10
10,226,10
19,226,10
28,226,10
33,226,10
21,226,10
30,226,10
12,226,10
2,273,6
3,226,10
31,226,10
31,226,10
28,226,10
14,226,10
32,226,10
5,226,10
23,226,10
31,226,10
16,226,10
7,226,10
28,226,10
30,226,10
25,226,10
34,226,10
34,226,10
29,226,10
9,226,10
18,226,10
27,226,10
30,226,10
31,226,10
11,226,10
20,226,10
29,226,10
34,226,10
22,226,10
31,226,10
13,226,10
4,226,10
32,226,10
32,226,10
29,226,10
15,226,10
33,226,10
6,226,10
24,226,10
32,226,10
17,226,10
8,226,10
29,226,10
31,226,10
26,226,10
35,226,10
35,226,10
30,226,10
10,226,10
19,226,10
28,226,10
31,226,10
32,226,10
12,226,10
21,226,10
2,273,6
3,226,10
30,226,10
35,226,10
23,226,10
32,226,10
5,226,10
14,226,10
33,226,10
33,226,10
30,226,10
16,226,10
34,226,10
7,226,10
25,226,10
33,226,10
18,226,10
9,226,10
30,226,10
32,226,10
27,226,10
36,226,10
36,226,10
31,226,10
11,226,10
20,226,10
29,226,10
32,226,10
33,226,10
13,226,10
22,226,10
4,226,10
31,226,10
36,226,10
24,226,10
6,226,10
33,226,10
34,226,10
15,226,10
34,226,10
31,226,10
17,226,10
35,226,10
8,226,10
26,226,10
34,226,10
19,226,10
10,226,10
31,226,10
33,226,10
28,226,10
37,226,10
37,226,10
32,226,10
12,226,10
21,226,10
2,273,6
3,226,10
33,226,10
30,226,10
34,226,10
14,226,10
23,226,10
5,226,10
32,226,10
37,226,10
7,226,10
25,226,10
35,226,10
34,226,10
16,226,10
35,226,10
32,226,10
18,226,10
36,226,10
9,226,10
27,226,10
35,226,10
20,226,10
11,226,10
32,226,10
34,226,10
29,226,10
38,226,10
38,226,10
33,226,10
13,226,10
22,226,10
4,226,10
34,226,10
31,226,10
35,226,10
15,226,10
24,226,10
6,226,10
33,226,10
38,226,10
8,226,10
26,226,10
36,226,10
35,226,10
17,226,10
36,226,10
33,226,10
19,226,10
37,226,10
10,226,10
28,226,10
36,226,10
21,226,10
12,226,10
33,226,10
2,273,6
3,226,10
35,226,10
30,226,10
39,226,10
39,226,10
34,226,10
14,226,10
5,226,10
23,226,10
32,226,10
35,226,10
36,226,10
16,226,10
25,226,10
7,226,10
34,226,10
39,226,10
9,226,10
27,226,10
37,226,10
36,226,10
18,226,10
37,226,10
34,226,10
20,226,10
38,226,10
11,226,10
29,226,10
37,226,10
22,226,10
13,226,10
34,226,10
4,226,10
36,226,10
31,226,10
40,226,10
40,226,10
35,226,10
6,226,10
15,226,10
24,226,10
33,226,10
36,226,10
37,226,10
17,226,10
26,226,10
8,226,10
35,226,10
40,226,10
10,226,10
28,226,10
38,226,10
37,226,10
19,226,10
38,226,10
35,226,10
21,226,10
39,226,10
12,226,10
30,226,10
2,273,6
3,226,10
38,226,10
23,226,10
14,226,10
35,226,10
5,226,10
37,226,10
32,226,10
41,226,10
41,226,10
36,226,10
7,226,10
16,226,10
25,226,10
34,226,10
37,226,10
38,226,10
18,226,10
27,226,10
9,226,10
36,226,10
41,226,10
11,226,10
29,226,10
39,226,10
38,226,10
20,226,10
39,226,10
36,226,10
22,226,10
40,226,10
13,226,10
31,226,10
4,226,10
39,226,10
24,226,10
15,226,10
36,226,10
6,226,10
38,226,10
33,226,10
42,226,10
42,226,10
37,226,10
8,226,10
17,226,10
26,226,10
35,226,10
38,226,10
39,226,10
19,226,10
28,226,10
10,226,10
37,226,10
42,226,10
12,226,10
30,226,10
40,226,10
39,226,10
2,273,6
3,226,10
40,226,10
21,226,10
37,226,10
23,226,10
41,226,10
14,226,10
5,226,10
32,226,10
40,226,10
25,226,10
16,226,10
37,226,10
7,226,10
39,226,10
34,226,10
43,226,10
43,226,10
38,226,10
9,226,10
18,226,10
27,226,10
36,226,10
39,226,10
40,226,10
20,226,10
29,226,10
11,226,10
38,226,10
43,226,10
13,226,10
31,226,10
41,226,10
40,226,10
4,226,10
41,226,10
22,226,10
38,226,10
24,226,10
42,226,10
6,226,10
15,226,10
33,226,10
41,226,10
26,226,10
17,226,10
38,226,10
8,226,10
40,226,10
35,226,10
44,226,10
44,226,10
39,226,10
10,226,10
19,226,10
28,226,10
37,226,10
40,226,10
41,226,10
21,226,10
30,226,10
12,226,10
2,273,6
3,226,10
39,226,10
44,226,10
14,226,10
32,226,10
42,226,10
5,226,10
41,226,10
23,226,10
42,226,10
39,226,10
25,226,10
7,226,10
43,226,10
16,226,10
34,226,10
42,226,10
27,226,10
18,226,10
39,226,10
9,226,10
41,226,10
36,226,10
45,226,10
45,226,10
40,226,10
11,226,10
20,226,10
29,226,10
38,226,10
41,226,10
42,226,10
22,226,10
31,226,10
13,226,10
4,226,10
40,226,10
45,226,10
15,226,10
33,226,10
6,226,10
43,226,10
42,226,10
24,226,10
43,226,10
40,226,10
8,226,10
26,226,10
44,226,10
17,226,10
35,226,10
43,226,10
28,226,10
19,226,10
40,226,10
10,226,10
42,226,10
37,226,10
46,226,10
46,226,10
41,226,10
12,226,10
21,226,10
2,273,6
3,226,10
39,226,10
30,226,10
42,226,10
43,226,10
23,226,10
32,226,10
5,226,10
14,226,10
41,226,10
46,226,10
16,226,10
7,226,10
34,226,10
44,226,10
43,226,10
25,226,10
44,226,10
9,226,10
41,226,10
27,226,10
45,226,10
18,226,10
36,226,10
44,226,10
29,226,10
20,226,10
41,226,10
11,226,10
43,226,10
38,226,10
47,226,10
47,226,10
42,226,10
13,226,10
22,226,10
4,226,10
40,226,10
31,226,10
43,226,10
44,226,10
24,226,10
6,226,10
33,226,10
15,226,10
42,226,10
47,226,10
8,226,10
17,226,10
35,226,10
45,226,10
44,226,10
26,226,10
45,226,10
